horseName,raceDate,raceNum,horseAgeInDays,jockey,trainer,weight,raceDist,postPosition,track,surface,trackCondition,raceType,purse,finishPosition,adamSpeedInMPH,dataType,adamSpeedInMPHLag1,jockeyLag1,oddsLag1,weightLag1,raceDistLag1,surfaceLag1,purseLag1,raceTypeLag1,trackConditionLag1,finishPositionLag1
A LISTER,2023-06-18T00:00:00Z,NA,1495,GREENIDGE ELIJAH,PRINGLE EDMUND,119,1320,11,BEL,t,FM,M,45000,11,37.65165248919259,train,0,Other,300,0,3000,Other,0,Other,Other,300
A LISTER,2022-11-06T00:00:00Z,NA,1271,HARKIE HEMAN K,PRINGLE EDMUND,121,1870,3,AQU,t,FM,M,45000,12,36.38006467567054,train,37.65165248919259,GREENIDGE ELIJAH,300,119,1320,t,45000,M,FM,300
A LISTER,2022-10-07T00:00:00Z,NA,1241,CASTILLO AMIN,PRINGLE EDMUND,121,1320,5,BAQ,D,FT,M,45000,7,35.202086049543674,train,36.38006467567054,HARKIE HEMAN K,300,121,1870,t,45000,M,FM,300
A LISTER,2022-09-24T00:00:00Z,NA,1228,CASTILLO AMIN,PRINGLE EDMUND,120,1870,3,BAQ,t,FM,S,77000,6,36.651973936374084,train,35.202086049543674,CASTILLO AMIN,300,121,1320,D,45000,M,FT,300
A LISTER,2022-05-06T00:00:00Z,NA,1087,HARKIE HEMAN K,DAVIS ROBBIE G,119,1760,2,BEL,D,SY,S,75000,5,35.25954946131244,train,36.651973936374084,CASTILLO AMIN,300,120,1870,t,77000,S,FM,300
A LISTER,2022-04-22T00:00:00Z,NA,1073,DAVIS JACQUELINE A,DAVIS ROBBIE G,118,1870,9,AQU,T,FM,M,43000,12,35.73430493273543,train,35.25954946131244,HARKIE HEMAN K,300,119,1760,D,75000,S,SY,300
A LISTER,2022-03-19T00:00:00Z,NA,1039,DAVIS JACQUELINE A,DAVIS ROBBIE G,120,1430,5,AQU,D,FT,S,70000,13,35.41590991645477,train,35.73430493273543,DAVIS JACQUELINE A,300,118,1870,T,43000,M,FM,300
A LISTER,2022-02-12T00:00:00Z,NA,1004,DAVIS JACQUELINE A,DAVIS ROBBIE G,120,1320,4,AQU,D,FT,S,70000,8,34.553365753775275,train,35.41590991645477,DAVIS JACQUELINE A,300,120,1430,D,70000,S,FT,300
ABSAM,2023-08-31T00:00:00Z,7,2388,GOMEZ KEVIN,Other,120,2640,8,DEL,T,FM,AO,38500,NA,999,test,0,Other,300,0,3000,Other,0,Other,Other,300
ABSAM,2022-10-15T00:00:00Z,NA,2068,Other,Other,144,3520,14,FH,T,YL,N,100000,12,32.285547733285505,train,999,GOMEZ KEVIN,300,120,2640,T,38500,AO,FM,300
ABSAM,2022-08-20T00:00:00Z,NA,2012,BESCHIZZA ADAM,CANO JUAN MUNOZ,122,1760,4,ELP,T,FM,C,19500,3,37.464876678114265,train,32.285547733285505,Other,300,144,3520,T,100000,N,YL,300
ABSAM,2022-07-30T00:00:00Z,NA,1991,BESCHIZZA ADAM,CANO JUAN MUNOZ,122,1870,3,ELP,T,FM,C,19500,3,36.33513821601596,train,37.464876678114265,BESCHIZZA ADAM,300,122,1760,T,19500,C,FM,300
ABSAM,2022-07-15T00:00:00Z,NA,1976,BEJARANO R,CANO JUAN MUNOZ,122,1760,1,ELP,T,FM,AO,62000,5,37.53127606338616,train,36.33513821601596,BESCHIZZA ADAM,300,122,1870,T,19500,C,FM,300
ABSAM,2022-06-18T00:00:00Z,NA,1949,SAEZ GABRIEL,CANO JUAN MUNOZ,122,1760,2,CD,D,FT,AO,134000,7,36.858810279512646,train,37.53127606338616,BEJARANO R,300,122,1760,T,62000,AO,FM,300
ABSAM,2022-06-02T00:00:00Z,NA,1933,GAFFALIONE TYLER,MAKER MICHAEL J,124,1870,8,CD,T,FM,C,68000,7,36.16337335728468,train,36.858810279512646,SAEZ GABRIEL,300,122,1760,D,134000,AO,FT,300
ABSAM,2022-04-27T00:00:00Z,NA,1897,ORTIZ IRAD JR,MAKER MICHAEL J,118,1870,2,KEE,T,FM,A,120000,8,36.913723219455704,train,36.16337335728468,GAFFALIONE TYLER,300,124,1870,T,68000,C,FM,300
ACCEPT THE OUTCOME,2023-06-10T00:00:00Z,NA,1151,ORTIZ IRAD JR,BROWN CHAD C,118,1320,5,BEL,t,FM,S,90000,7,38.46153846153846,train,0,Other,300,0,3000,Other,0,Other,Other,300
ACCEPT THE OUTCOME,2023-04-15T00:00:00Z,NA,1095,MCCARTHY TREVOR,BROWN CHAD C,118,1320,6,AQU,t,FM,S,80000,2,39.21568627450981,train,38.46153846153846,ORTIZ IRAD JR,300,118,1320,t,90000,S,FM,300
ACCEPT THE OUTCOME,2023-02-16T00:00:00Z,NA,1037,ORTIZ IRAD JR,BROWN CHAD C,118,1650,2,GP,T,FM,S,84000,4,36.94985767462229,train,39.21568627450981,MCCARTHY TREVOR,300,118,1320,t,80000,S,FM,300
AFTER THE GOLDRUSH,2017-08-07T00:00:00Z,NA,1575,Other,MOORE MICHAEL M,124,1210,1,PRX,D,SY,M,18000,2,37.81512605042016,train,0,Other,300,0,3000,Other,0,Other,Other,300
AFTER THE GOLDRUSH,2017-07-17T00:00:00Z,NA,1554,Other,Other,124,1320,7,PRX,D,FT,M,18000,3,36.95592663564194,train,37.81512605042016,Other,300,124,1210,D,18000,M,SY,300
AFTER THE GOLDRUSH,2017-05-19T00:00:00Z,NA,1495,LANERIE C J,BRUEGGEMANN ROGER,122,1320,6,CD,D,FT,M,16000,4,37.169603524229075,train,36.95592663564194,Other,300,124,1320,D,18000,M,FT,300
AFTER THE GOLDRUSH,2017-03-27T00:00:00Z,NA,1442,TORRES F C,BRUEGGEMANN ROGER,123,1320,6,FG,D,FT,M,14000,2,37.447988904299585,train,37.169603524229075,LANERIE C J,300,122,1320,D,16000,M,FT,300
AFTER THE GOLDRUSH,2017-02-10T00:00:00Z,NA,1397,Other,BRUEGGEMANN ROGER,123,1320,5,FG,D,FT,M,14000,5,36.96604600219057,train,37.447988904299585,TORRES F C,300,123,1320,D,14000,M,FT,300
AFTER THE GOLDRUSH,2017-01-20T00:00:00Z,NA,1376,TORRES F C,BRUEGGEMANN ROGER,123,1320,4,FG,D,FT,M,14000,4,37.57828810020877,train,36.96604600219057,Other,300,123,1320,D,14000,M,FT,300
AFTER THE GOLDRUSH,2016-12-22T00:00:00Z,NA,1347,Other,BRUEGGEMANN ROGER,122,1320,7,FG,D,FT,M,18000,7,36.565547128927406,train,37.57828810020877,TORRES F C,300,123,1320,D,14000,M,FT,300
AFTER THE GOLDRUSH,2016-07-29T00:00:00Z,NA,1201,Other,Other,121,1210,5,AP,D,FT,M,8800,5,37.3923553406859,train,36.565547128927406,Other,300,122,1320,D,18000,M,FT,300
