countyID,areaName,stateAbbrev,population2014,medianHouseholdIncome,populationPerSqMile
0,United States,,318857056,53046,87.4
1000,Alabama,,4849377,43253,94.4
1001,Autauga County,AL,55395,53682,91.8
1003,Baldwin County,AL,200111,50221,114.6
1005,Barbour County,AL,26887,32911,31
1007,Bibb County,AL,22506,36447,36.8
1009,Blount County,AL,57719,44145,88.9
1011,Bullock County,AL,10764,32033,17.5
1013,Butler County,AL,20296,29918,27
1015,Calhoun County,AL,115916,39962,195.7
1017,Chambers County,AL,34076,32402,57.4
1019,Cherokee County,AL,26037,34907,46.9
1021,Chilton County,AL,43931,41250,63
1023,Choctaw County,AL,13323,33941,15.2
1025,Clarke County,AL,24945,29357,20.9
1027,Clay County,AL,13552,34002,23.1
1029,Cleburne County,AL,15080,38019,26.7
1031,Coffee County,AL,50909,43768,73.6
1033,Colbert County,AL,54543,39077,91.8
1035,Conecuh County,AL,12670,24658,15.6
1037,Coosa County,AL,10886,37277,17.7
1039,Covington County,AL,37914,35869,36.6
1041,Crenshaw County,AL,13977,36275,22.8
1043,Cullman County,AL,81289,38847,109.4
1045,Dale County,AL,49484,44889,89.6
1047,Dallas County,AL,41711,26519,44.8
1049,DeKalb County,AL,71065,37851,91.5
1051,Elmore County,AL,80977,54766,128.2
1053,Escambia County,AL,37733,30687,40.5
1055,Etowah County,AL,103531,38013,195.2
1057,Fayette County,AL,16874,33838,27.5
1059,Franklin County,AL,31601,36415,50
1061,Geneva County,AL,26712,35625,46.6
1063,Greene County,AL,8553,24226,14
1065,Hale County,AL,15184,30051,24.5
1067,Henry County,AL,17190,41650,30.8
1069,Houston County,AL,104193,40948,175.1
1071,Jackson County,AL,52665,37634,49.4
1073,Jefferson County,AL,660793,45429,592.5
1075,Lamar County,AL,14086,36028,24.1
1077,Lauderdale County,AL,93096,42844,138.8
1079,Lawrence County,AL,33477,38551,49.7
1081,Lee County,AL,154255,43542,230.8
1083,Limestone County,AL,90787,48619,147.8
1085,Lowndes County,AL,10580,26230,15.8
1087,Macon County,AL,19425,30724,35.2
1089,Madison County,AL,350299,58434,417.7
1091,Marengo County,AL,20110,35079,21.5
