jockey,raceDist,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH
FRANCO MANUEL,1870,BEL,D,GD,A,77000,NA,36.38352515932655
ORTIZ IRAD JR,1760,AQU,D,FT,A,67000,NA,36.5333874568703
ORTIZ IRAD JR,1870,AQU,d,FT,AO,59000,NA,36.30065483534212
FRANCO MANUEL,1830,AQU,d,FT,AO,59000,NA,36.44418087997097
ORTIZ IRAD JR,1870,AQU,d,FT,AO,59000,NA,35.94249201277955
VELAZQUEZ J R,1760,AQU,D,FT,AO,59000,NA,36.52597402597402
ORTIZ IRAD JR,1760,BEL,D,GD,AO,65000,NA,36.38201111672562
ORTIZ JOSE L,1870,BEL,D,MY,AO,65000,NA,36.93154388336391
FRANCO MANUEL,1760,BEL,T,FM,AO,65000,NA,37.68844221105528
ORTIZ IRAD JR,1870,SAR,t,FM,AO,78000,NA,36.94581280788177
CASTELLANO J J,1760,BEL,D,FT,R,55000,NA,36.81734506033954
MCCARTHY TREVOR,1760,LRL,D,FT,M,33000,40000,36.492650785605676
ARROYO ANGEL S,1320,AQU,d,FT,S,60000,NA,36.66485605649104
ARROYO ANGEL S,1430,BEL,D,FT,S,75000,NA,37.59640102827763
ORTIZ JOSE L,1320,SAR,D,FT,S,83000,NA,37.58875121815397
MARAGH RAJIV,1870,BEL,D,GD,A,77000,NA,36.47372937923143
MARAGH RAJIV,1760,AQU,D,FT,A,67000,NA,36.61885871223679
GALLARDO ANTONIO A,1830,AQU,d,FT,A,67000,NA,36.225508740751174
ORTIZ JOSE L,1760,AQU,D,FT,A,67000,NA,36.81734506033954
ORTIZ JOSE L,1760,KEE,D,FT,C,34000,32000,36.90036900369004
BRAVO J,1540,SAR,D,FT,A,85000,NA,37.46431969552807
BRIDGMOHAN S X,1870,SAR,T,FM,A,95000,NA,37.7479522352709
VELAZQUEZ J R,1760,BEL,T,FM,A,77000,NA,36.507453605111046
FRANCO MANUEL,2420,BEL,t,TF,AO,90000,NA,36.53945522994021
FRANCO MANUEL,1870,BEL,t,YL,A,80000,NA,36.48764666603072
CARMOUCHE K,1760,BEL,T,FM,A,77000,NA,38.53564547206166
CARMOUCHE K,1760,AQU,D,FT,A,67000,NA,36.8437212158428
CARMOUCHE K,1760,AQU,D,MY,N,60000,NA,36.24282694050136
TOLEDO JEVIAN,1870,LRL,D,FT,AO,42000,NA,35.966149506346966
FRANCO MANUEL,1870,AQU,d,FT,A,67000,NA,36.5643819902495
CANCEL ERIC,1830,AQU,d,FT,A,67000,NA,36.11715378407775
CANCEL ERIC,1830,AQU,d,MY,R,58000,NA,36.047590698977444
ORTIZ JOSE L,1760,AQU,D,FT,C,35000,25000,37.04465939493722
ORTIZ IRAD JR,1760,AQU,D,FT,C,27000,16000,36.199095022624434
GALLARDO ANTONIO A,1760,BEL,D,FT,C,28000,16000,37.15553720714212
ORTIZ IRAD JR,1760,AQU,D,FT,A,67000,NA,36.507453605111046
ORTIZ IRAD JR,1870,AQU,d,FT,AO,67000,NA,35.694288913773796
ROSARIO JOEL,1870,GP,D,FT,AO,48000,NA,36.67657493527663
*PROBERT D,2200,NKT,T,TF,N,50634,NA,34.61272209830013
*HANAGAN P,2200,NKT,T,SF,N,57492,NA,35.8337314859054
*HANAGAN P,1980,NKT,T,SF,N,49948,NA,34.52685421994885
*HANAGAN P,2090,WLV,D,FT,S,7576,NA,35.921351146962444
VELAZQUEZ J R,1430,AQU,D,FT,A,67000,NA,36.997217303313946
ORTIZ JOSE L,1980,AQU,D,FT,G3,150000,NA,36.10591067130248
PEREIRA TIAGO,1980,PRX,D,FT,G2,1250000,NA,36.529268512672495
PEREIRA TIAGO,1870,PRX,D,FT,G3,300000,NA,36.79299730665641
MCCARTHY TREVOR,1980,TDN,D,FT,N,500000,NA,35.79319487406098
MCCARTHY TREVOR,1980,BEL,D,FT,G2,200000,NA,37.63590744354614
PEREIRA TIAGO,1980,SA,D,SY,S,56000,NA,37.14914694551459
PEREIRA TIAGO,1430,DMR,D,FT,S,52000,NA,38.15051519499152
VELAZQUEZ J R,1870,BEL,D,GD,S,75000,NA,37.121506211180126
VELAZQUEZ J R,1760,GP,D,FT,S,46000,NA,36.42618638065365
