countyID,party,candidate,votes
19001,Republican,Ted Cruz,104
19001,Republican,Donald Trump,104
19001,Republican,Marco Rubio,80
19001,Republican,Ben Carson,61
19001,Republican,Carly Fiorina,16
19001,Republican,Rand Paul,12
19001,Republican,Mike Huckabee,11
19001,Republican,Rick Santorum,7
19001,Republican,Jeb Bush,4
19001,Republican,Chris Christie,4
19001,Republican,John Kasich,2
19001,Democrat,Hillary Clinton,168
19001,Democrat,Bernie Sanders,132
19001,Democrat,Martin O'Malley,0
19001,Democrat, Uncommitted,0
19003,Republican,Ted Cruz,81
19003,Republican,Donald Trump,68
19003,Republican,Marco Rubio,47
19003,Republican,Ben Carson,30
19003,Republican,Carly Fiorina,16
19003,Republican,John Kasich,10
19003,Republican,Rand Paul,8
19003,Republican,Jeb Bush,7
19003,Republican,Mike Huckabee,3
19003,Republican,Chris Christie,1
19003,Republican,Rick Santorum,1
19003,Democrat,Hillary Clinton,113
19003,Democrat,Bernie Sanders,86
19003,Democrat,Martin O'Malley,0
19003,Democrat, Uncommitted,0
19005,Republican,Ted Cruz,183
19005,Republican,Donald Trump,193
19005,Republican,Marco Rubio,131
19005,Republican,Ben Carson,77
19005,Republican,Carly Fiorina,54
19005,Republican,Rand Paul,16
19005,Republican,Jeb Bush,11
19005,Republican,Mike Huckabee,9
19005,Republican,Rick Santorum,6
19005,Republican,Chris Christie,4
19005,Republican,John Kasich,2
19005,Democrat,Hillary Clinton,304
19005,Democrat,Bernie Sanders,296
19005,Democrat,Martin O'Malley,0
19005,Democrat, Uncommitted,0
19007,Republican,Ted Cruz,269
19007,Republican,Donald Trump,292
19007,Republican,Ben Carson,92
19007,Republican,Marco Rubio,90
19007,Republican,Mike Huckabee,44
19007,Republican,Rand Paul,20
19007,Republican,Jeb Bush,13
19007,Republican,Carly Fiorina,9
19007,Republican,Chris Christie,4
19007,Republican,John Kasich,4
19007,Republican,Rick Santorum,2
19007,Democrat,Hillary Clinton,273
19007,Democrat,Bernie Sanders,226
19007,Democrat,Martin O'Malley,0
19007,Democrat, Uncommitted,0
19009,Republican,Ted Cruz,135
19009,Republican,Donald Trump,99
19009,Republican,Marco Rubio,56
19009,Republican,Ben Carson,33
19009,Republican,Mike Huckabee,20
19009,Republican,Rand Paul,11
19009,Republican,Jeb Bush,10
19009,Republican,John Kasich,5
19009,Republican,Carly Fiorina,4
19009,Republican,Chris Christie,1
19009,Republican,Rick Santorum,0
19009,Democrat,Hillary Clinton,187
19009,Democrat,Bernie Sanders,112
19009,Democrat,Martin O'Malley,0
19009,Democrat, Uncommitted,0
19011,Republican,Ted Cruz,596
19011,Republican,Donald Trump,410
19011,Republican,Marco Rubio,246
19011,Republican,Ben Carson,171
19011,Republican,Rand Paul,72
19011,Republican,Carly Fiorina,35
19011,Republican,Mike Huckabee,34
19011,Republican,John Kasich,27
19011,Republican,Chris Christie,23
