jockey,raceDist,postPosition,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH,dataType,raceNum,raceDate
FRANCO MANUEL,1870,1,BEL,D,GD,A,77000,NA,36.38352515932655,train,NA,NA
ORTIZ IRAD JR,1760,1,AQU,D,FT,A,67000,NA,36.5333874568703,train,NA,NA
ORTIZ IRAD JR,1870,1,AQU,d,FT,AO,59000,NA,36.30065483534212,train,NA,NA
FRANCO MANUEL,1830,1,AQU,d,FT,AO,59000,NA,36.44418087997097,train,NA,NA
ORTIZ IRAD JR,1870,1,AQU,d,FT,AO,59000,NA,35.94249201277955,train,NA,NA
VELAZQUEZ J R,1760,1,AQU,D,FT,AO,59000,NA,36.52597402597402,train,NA,NA
ORTIZ IRAD JR,1760,1,BEL,D,GD,AO,65000,NA,36.38201111672562,train,NA,NA
ORTIZ JOSE L,1870,1,BEL,D,MY,AO,65000,NA,36.93154388336391,train,NA,NA
FRANCO MANUEL,1760,1,BEL,T,FM,AO,65000,NA,37.68844221105528,train,NA,NA
ORTIZ IRAD JR,1870,1,SAR,t,FM,AO,78000,NA,36.94581280788177,train,NA,NA
CASTELLANO J J,1760,2,BEL,D,FT,R,55000,NA,36.81734506033954,train,NA,NA
MCCARTHY TREVOR,1760,2,LRL,D,FT,M,33000,40000,36.492650785605676,train,NA,NA
ARROYO ANGEL S,1320,2,AQU,d,FT,S,60000,NA,36.66485605649104,train,NA,NA
ARROYO ANGEL S,1430,2,BEL,D,FT,S,75000,NA,37.59640102827763,train,NA,NA
ORTIZ JOSE L,1320,2,SAR,D,FT,S,83000,NA,37.58875121815397,train,NA,NA
MARAGH RAJIV,1870,3,BEL,D,GD,A,77000,NA,36.47372937923143,train,NA,NA
MARAGH RAJIV,1760,3,AQU,D,FT,A,67000,NA,36.61885871223679,train,NA,NA
GALLARDO ANTONIO A,1830,3,AQU,d,FT,A,67000,NA,36.225508740751174,train,NA,NA
ORTIZ JOSE L,1760,3,AQU,D,FT,A,67000,NA,36.81734506033954,train,NA,NA
ORTIZ JOSE L,1760,3,KEE,D,FT,C,34000,32000,36.90036900369004,train,NA,NA
BRAVO J,1540,3,SAR,D,FT,A,85000,NA,37.46431969552807,train,NA,NA
BRIDGMOHAN S X,1870,3,SAR,T,FM,A,95000,NA,37.7479522352709,train,NA,NA
VELAZQUEZ J R,1760,3,BEL,T,FM,A,77000,NA,36.507453605111046,train,NA,NA
FRANCO MANUEL,2420,3,BEL,t,TF,AO,90000,NA,36.53945522994021,train,NA,NA
FRANCO MANUEL,1870,3,BEL,t,YL,A,80000,NA,36.48764666603072,train,NA,NA
CARMOUCHE K,1760,4,BEL,T,FM,A,77000,NA,38.53564547206166,train,NA,NA
CARMOUCHE K,1760,4,AQU,D,FT,A,67000,NA,36.8437212158428,train,NA,NA
CARMOUCHE K,1760,4,AQU,D,MY,N,60000,NA,36.24282694050136,train,NA,NA
TOLEDO JEVIAN,1870,4,LRL,D,FT,AO,42000,NA,35.966149506346966,train,NA,NA
FRANCO MANUEL,1870,4,AQU,d,FT,A,67000,NA,36.5643819902495,train,NA,NA
CANCEL ERIC,1830,4,AQU,d,FT,A,67000,NA,36.11715378407775,train,NA,NA
CANCEL ERIC,1830,4,AQU,d,MY,R,58000,NA,36.047590698977444,train,NA,NA
ORTIZ JOSE L,1760,4,AQU,D,FT,C,35000,25000,37.04465939493722,train,NA,NA
ORTIZ IRAD JR,1760,4,AQU,D,FT,C,27000,16000,36.199095022624434,train,NA,NA
GALLARDO ANTONIO A,1760,4,BEL,D,FT,C,28000,16000,37.15553720714212,train,NA,NA
ORTIZ IRAD JR,1760,5,AQU,D,FT,A,67000,NA,36.507453605111046,train,NA,NA
ORTIZ IRAD JR,1870,5,AQU,d,FT,AO,67000,NA,35.694288913773796,train,NA,NA
ROSARIO JOEL,1870,5,GP,D,FT,AO,48000,NA,36.67657493527663,train,NA,NA
Other,2200,5,NKT,T,TF,N,50634,NA,34.61272209830013,train,NA,NA
Other,2200,5,NKT,T,SF,N,57492,NA,35.8337314859054,train,NA,NA
Other,1980,5,NKT,T,SF,N,49948,NA,34.52685421994885,train,NA,NA
Other,2090,5,WLV,D,FT,S,7576,NA,35.921351146962444,train,NA,NA
VELAZQUEZ J R,1430,6,AQU,D,FT,A,67000,NA,36.997217303313946,train,NA,NA
ORTIZ JOSE L,1980,6,AQU,D,FT,G3,150000,NA,36.10591067130248,train,NA,NA
PEREIRA TIAGO,1980,6,PRX,D,FT,G2,1250000,NA,36.529268512672495,train,NA,NA
PEREIRA TIAGO,1870,6,PRX,D,FT,G3,300000,NA,36.79299730665641,train,NA,NA
MCCARTHY TREVOR,1980,6,TDN,D,FT,N,500000,NA,35.79319487406098,train,NA,NA
MCCARTHY TREVOR,1980,6,BEL,D,FT,G2,200000,NA,37.63590744354614,train,NA,NA
PEREIRA TIAGO,1980,6,SA,D,SY,S,56000,NA,37.14914694551459,train,NA,NA
PEREIRA TIAGO,1430,6,DMR,D,FT,S,52000,NA,38.15051519499152,train,NA,NA
VELAZQUEZ J R,1870,7,BEL,D,GD,S,75000,NA,37.121506211180126,train,NA,NA
VELAZQUEZ J R,1760,7,GP,D,FT,S,46000,NA,36.42618638065365,train,NA,NA
DAVIS DYLAN,1830,8,AQU,d,FT,A,67000,NA,35.84049998259113,train,NA,NA
ALVARADO JUNIOR,1760,8,AQU,D,FT,A,67000,NA,36.42618638065365,train,NA,NA
ALVARADO JUNIOR,1540,8,BEL,D,MY,S,75000,NA,37.80151206048242,train,NA,NA
ALVARADO JUNIOR,1430,8,BEL,D,GD,S,75000,NA,37.673879443585776,train,NA,NA
SAEZ LUIS,1320,9,KEE,D,MY,A,72000,NA,37.741123846798985,train,NA,NA
SAEZ LUIS,1320,9,GP,D,FT,S,46000,NA,38.18413237165889,train,NA,NA
JUAREZ NIK,1210,9,GP,D,SY,S,46000,NA,37.56260434056761,train,NA,NA
Other,1320,9,CD,D,FT,S,58000,NA,37.88941902890822,train,NA,NA
ORTIZ JOSE L,1540,9,KEE,D,FT,S,60000,NA,37.14622641509435,train,NA,NA
ORTIZ JOSE L,1320,9,SAR,D,FT,S,83000,NA,37.96934327098862,train,NA,NA
