horseName,raceDate,raceNum,horseAgeInDays,jockey,trainer,weight,raceDist,postPosition,track,surface,trackCondition,raceType,purse,finishPosition,adamSpeedInMPH,dataType,adamSpeedInMPHLag1,jockeyLag1,oddsLag1,weightLag1,raceDistLag1,surfaceLag1,purseLag1,raceTypeLag1,trackConditionLag1,finishPositionLag1
A LISTER,2023-06-18T00:00:00Z,NA,1495,GREENIDGE ELIJAH,PRINGLE EDMUND,119,1320,11,BEL,t,FM,M,45000,11,37.65165248919259,train,0,Other,300,0,3000,Other,0,Other,Other,300
A LISTER,2022-11-06T00:00:00Z,NA,1271,HARKIE HEMAN K,PRINGLE EDMUND,121,1870,3,AQU,t,FM,M,45000,12,36.38006467567054,train,37.65165248919259,GREENIDGE ELIJAH,300,119,1320,t,45000,M,FM,300
A LISTER,2022-10-07T00:00:00Z,NA,1241,CASTILLO AMIN,PRINGLE EDMUND,121,1320,5,BAQ,D,FT,M,45000,7,35.202086049543674,train,36.38006467567054,HARKIE HEMAN K,300,121,1870,t,45000,M,FM,300
A LISTER,2022-09-24T00:00:00Z,NA,1228,CASTILLO AMIN,PRINGLE EDMUND,120,1870,3,BAQ,t,FM,S,77000,6,36.651973936374084,train,35.202086049543674,CASTILLO AMIN,300,121,1320,D,45000,M,FT,300
A LISTER,2022-05-06T00:00:00Z,NA,1087,HARKIE HEMAN K,DAVIS ROBBIE G,119,1760,2,BEL,D,SY,S,75000,5,35.25954946131244,train,36.651973936374084,CASTILLO AMIN,300,120,1870,t,77000,S,FM,300
A LISTER,2022-04-22T00:00:00Z,NA,1073,DAVIS JACQUELINE A,DAVIS ROBBIE G,118,1870,9,AQU,T,FM,M,43000,12,35.73430493273543,train,35.25954946131244,HARKIE HEMAN K,300,119,1760,D,75000,S,SY,300
A LISTER,2022-03-19T00:00:00Z,NA,1039,DAVIS JACQUELINE A,DAVIS ROBBIE G,120,1430,5,AQU,D,FT,S,70000,13,35.41590991645477,train,35.73430493273543,DAVIS JACQUELINE A,300,118,1870,T,43000,M,FM,300
A LISTER,2022-02-12T00:00:00Z,NA,1004,DAVIS JACQUELINE A,DAVIS ROBBIE G,120,1320,4,AQU,D,FT,S,70000,8,34.553365753775275,train,35.41590991645477,DAVIS JACQUELINE A,300,120,1430,D,70000,S,FT,300
A TRUE GIANT,2018-04-11T00:00:00Z,NA,1092,ORTIZ IRAD JR,RODRIGUEZ RUDY R,117,1430,8,AQU,D,FT,S,62000,1,37.119289340101524,train,0,Other,300,0,3000,Other,0,Other,Other,300
ABSOLUTE CONTROL,2023-08-30T00:00:00Z,7,1232,CASTELLANO J J,WEAVER GEORGE,118,1980,5,SAR,T,YL,S,136500,NA,999,test,0,Other,300,0,3000,Other,0,Other,Other,300
ACCEPT THE OUTCOME,2023-06-10T00:00:00Z,NA,1151,ORTIZ IRAD JR,BROWN CHAD C,118,1320,5,BEL,t,FM,S,90000,7,38.46153846153846,train,0,Other,300,0,3000,Other,0,Other,Other,300
ACCEPT THE OUTCOME,2023-04-15T00:00:00Z,NA,1095,MCCARTHY TREVOR,BROWN CHAD C,118,1320,6,AQU,t,FM,S,80000,2,39.21568627450981,train,38.46153846153846,ORTIZ IRAD JR,300,118,1320,t,90000,S,FM,300
ACCEPT THE OUTCOME,2023-02-16T00:00:00Z,NA,1037,ORTIZ IRAD JR,BROWN CHAD C,118,1650,2,GP,T,FM,S,84000,4,36.94985767462229,train,39.21568627450981,MCCARTHY TREVOR,300,118,1320,t,80000,S,FM,300
ACOUSTIC AVE,2023-07-16T00:00:00Z,NA,1247,FRANCO MANUEL,CLEMENT CHRISTOPHE,118,1210,6,SAR,D,SY,N,175000,4,38.218035824583076,train,0,Other,300,0,3000,Other,0,Other,Other,300
ACOUSTIC AVE,2023-06-26T00:00:00Z,NA,1227,DAVILA J R JR,CLEMENT CHRISTOPHE,124,1320,5,FL,D,FT,N,50000,2,36.890285558136355,train,38.218035824583076,FRANCO MANUEL,300,118,1210,D,175000,N,SY,300
ACOUSTIC AVE,2022-11-25T00:00:00Z,NA,1014,FRANCO MANUEL,CLEMENT CHRISTOPHE,122,1320,3,AQU,D,FT,N,100000,1,36.644951140065146,train,36.890285558136355,DAVILA J R JR,300,124,1320,D,50000,N,FT,300
ACOUSTIC AVE,2022-10-17T00:00:00Z,NA,975,FRANCO MANUEL,CLEMENT CHRISTOPHE,122,1320,3,FL,D,FT,N,158579,1,37.614934522151025,train,36.644951140065146,FRANCO MANUEL,300,122,1320,D,100000,N,FT,300
ACOUSTIC AVE,2022-09-26T00:00:00Z,NA,954,FRANCO MANUEL,CLEMENT CHRISTOPHE,121,1210,4,FL,D,SY,N,97854,1,37.797800855222974,train,37.614934522151025,FRANCO MANUEL,300,122,1320,D,158579,N,FT,300
ACOUSTIC AVE,2022-08-26T00:00:00Z,NA,923,FRANCO MANUEL,CLEMENT CHRISTOPHE,122,1430,1,SAR,D,MY,N,200000,3,36.54879420217418,train,37.797800855222974,FRANCO MANUEL,300,121,1210,D,97854,N,SY,300
ACOUSTIC AVE,2022-07-29T00:00:00Z,NA,895,FRANCO MANUEL,CLEMENT CHRISTOPHE,119,1320,7,SAR,D,FT,S,88000,1,37.432413697490645,train,36.54879420217418,FRANCO MANUEL,300,122,1430,D,200000,N,MY,300
ADELIESE'S SMILE,2023-07-08T00:00:00Z,NA,1179,CASTELLANO J J,JIMENEZ JOSE L,118,1430,4,BEL,D,FT,G3,175000,8,37.18062793949409,train,0,Other,300,0,3000,Other,0,Other,Other,300
ADELIESE'S SMILE,2023-06-23T00:00:00Z,NA,1164,ALVARADO JUNIOR,JIMENEZ JOSE L,120,1430,4,BEL,D,FT,A,95000,2,37.790697674418595,train,37.18062793949409,CASTELLANO J J,300,118,1430,D,175000,G3,FT,300
ADELIESE'S SMILE,2023-02-04T00:00:00Z,NA,1025,REYES LEONEL,JIMENEZ JOSE L,118,1540,9,GP,D,FT,G3,125000,9,35.64961521050249,train,37.790697674418595,ALVARADO JUNIOR,300,120,1430,D,95000,A,FT,300
ADELIESE'S SMILE,2023-01-05T00:00:00Z,NA,995,REYES LEONEL,JIMENEZ JOSE L,118,1760,2,GP,D,FT,S,84000,1,36.80605255086392,train,35.64961521050249,REYES LEONEL,300,118,1540,D,125000,G3,FT,300
ADELIESE'S SMILE,2022-12-18T00:00:00Z,NA,977,REYES LEONEL,JIMENEZ JOSE L,118,1100,3,GP,D,FT,S,70000,6,38.97453663606444,train,36.80605255086392,REYES LEONEL,300,118,1760,D,84000,S,FT,300
ADELIESE'S SMILE,2022-11-11T00:00:00Z,NA,940,BEATO INOEL,JIMENEZ JOSE L,118,1760,2,GP,D,FT,S,50000,3,35.65415469941566,train,38.97453663606444,REYES LEONEL,300,118,1100,D,70000,S,FT,300
