precinct,date,month_year,daily_tickets
1,2014-01-01,01-2014,17
1,2014-01-02,01-2014,67
1,2014-01-03,01-2014,17
1,2014-01-04,01-2014,42
1,2014-01-05,01-2014,54
1,2014-01-06,01-2014,109
1,2014-01-07,01-2014,115
1,2014-01-08,01-2014,119
1,2014-01-09,01-2014,154
1,2014-01-10,01-2014,95
1,2014-01-11,01-2014,38
1,2014-01-12,01-2014,37
1,2014-01-13,01-2014,91
1,2014-01-14,01-2014,90
1,2014-01-15,01-2014,122
1,2014-01-16,01-2014,90
1,2014-01-17,01-2014,111
1,2014-01-18,01-2014,65
1,2014-01-19,01-2014,67
1,2014-01-20,01-2014,65
1,2014-01-21,01-2014,42
1,2014-01-22,01-2014,28
1,2014-01-23,01-2014,70
1,2014-01-24,01-2014,90
1,2014-01-25,01-2014,35
1,2014-01-26,01-2014,30
1,2014-01-27,01-2014,87
1,2014-01-28,01-2014,107
1,2014-01-29,01-2014,99
1,2014-01-30,01-2014,130
1,2014-01-31,01-2014,105
1,2014-02-01,02-2014,42
1,2014-02-02,02-2014,40
1,2014-02-03,02-2014,13
1,2014-02-04,02-2014,84
1,2014-02-05,02-2014,45
1,2014-02-06,02-2014,110
1,2014-02-07,02-2014,52
1,2014-02-08,02-2014,48
1,2014-02-09,02-2014,51
1,2014-02-10,02-2014,141
1,2014-02-11,02-2014,115
1,2014-02-12,02-2014,101
1,2014-02-13,02-2014,25
1,2014-02-14,02-2014,58
1,2014-02-15,02-2014,38
1,2014-02-16,02-2014,27
1,2014-02-17,02-2014,84
1,2014-02-18,02-2014,91
1,2014-02-19,02-2014,81
1,2014-02-20,02-2014,152
1,2014-02-21,02-2014,72
1,2014-02-22,02-2014,73
1,2014-02-23,02-2014,42
1,2014-02-24,02-2014,186
1,2014-02-25,02-2014,152
1,2014-02-26,02-2014,141
1,2014-02-27,02-2014,153
1,2014-02-28,02-2014,86
1,2014-03-01,03-2014,62
1,2014-03-02,03-2014,51
1,2014-03-03,03-2014,69
1,2014-03-04,03-2014,82
1,2014-03-05,03-2014,87
1,2014-03-06,03-2014,79
1,2014-03-07,03-2014,109
1,2014-03-08,03-2014,47
1,2014-03-09,03-2014,72
1,2014-03-10,03-2014,107
1,2014-03-11,03-2014,81
1,2014-03-12,03-2014,118
1,2014-03-13,03-2014,90
1,2014-03-14,03-2014,71
1,2014-03-15,03-2014,39
1,2014-03-16,03-2014,38
1,2014-03-17,03-2014,82
1,2014-03-18,03-2014,113
1,2014-03-19,03-2014,79
1,2014-03-20,03-2014,161
1,2014-03-21,03-2014,73
1,2014-03-22,03-2014,106
1,2014-03-23,03-2014,38
1,2014-03-24,03-2014,89
1,2014-03-25,03-2014,128
1,2014-03-26,03-2014,76
1,2014-03-27,03-2014,69
1,2014-03-28,03-2014,98
1,2014-03-29,03-2014,41
1,2014-03-30,03-2014,29
1,2014-03-31,03-2014,78
1,2014-04-01,04-2014,127
1,2014-04-02,04-2014,96
1,2014-04-03,04-2014,152
1,2014-04-04,04-2014,33
1,2014-04-05,04-2014,42
1,2014-04-06,04-2014,59
1,2014-04-07,04-2014,58
1,2014-04-08,04-2014,62
1,2014-04-09,04-2014,69
1,2014-04-10,04-2014,66
1,2014-04-11,04-2014,52
1,2014-04-12,04-2014,42
1,2014-04-13,04-2014,67
1,2014-04-14,04-2014,40
1,2014-04-15,04-2014,88
1,2014-04-16,04-2014,60
1,2014-04-17,04-2014,88
1,2014-04-18,04-2014,89
1,2014-04-19,04-2014,47
1,2014-04-20,04-2014,25
1,2014-04-21,04-2014,105
1,2014-04-22,04-2014,111
1,2014-04-23,04-2014,91
1,2014-04-24,04-2014,94
1,2014-04-25,04-2014,97
1,2014-04-26,04-2014,64
1,2014-04-27,04-2014,38
1,2014-04-28,04-2014,112
1,2014-04-29,04-2014,153
1,2014-04-30,04-2014,90
1,2014-05-01,05-2014,48
1,2014-05-02,05-2014,84
1,2014-05-03,05-2014,45
1,2014-05-04,05-2014,83
1,2014-05-05,05-2014,66
1,2014-05-06,05-2014,81
1,2014-05-07,05-2014,77
1,2014-05-08,05-2014,55
1,2014-05-09,05-2014,53
1,2014-05-10,05-2014,64
1,2014-05-11,05-2014,58
1,2014-05-12,05-2014,122
1,2014-05-13,05-2014,98
1,2014-05-14,05-2014,54
1,2014-05-15,05-2014,117
1,2014-05-16,05-2014,105
1,2014-05-17,05-2014,54
1,2014-05-18,05-2014,97
1,2014-05-19,05-2014,89
1,2014-05-20,05-2014,108
1,2014-05-21,05-2014,118
1,2014-05-22,05-2014,96
1,2014-05-23,05-2014,108
1,2014-05-24,05-2014,32
1,2014-05-25,05-2014,80
1,2014-05-26,05-2014,107
1,2014-05-27,05-2014,182
1,2014-05-28,05-2014,175
1,2014-05-29,05-2014,159
1,2014-05-30,05-2014,209
1,2014-05-31,05-2014,120
1,2014-06-01,06-2014,171
1,2014-06-02,06-2014,87
1,2014-06-03,06-2014,57
1,2014-06-04,06-2014,80
1,2014-06-05,06-2014,93
1,2014-06-06,06-2014,73
1,2014-06-07,06-2014,82
1,2014-06-08,06-2014,76
1,2014-06-09,06-2014,57
1,2014-06-10,06-2014,125
1,2014-06-11,06-2014,127
1,2014-06-12,06-2014,88
1,2014-06-13,06-2014,46
1,2014-06-14,06-2014,75
1,2014-06-15,06-2014,61
1,2014-06-16,06-2014,41
1,2014-06-17,06-2014,69
1,2014-06-18,06-2014,88
1,2014-06-19,06-2014,78
1,2014-06-20,06-2014,50
1,2014-06-21,06-2014,37
1,2014-06-22,06-2014,61
1,2014-06-23,06-2014,114
1,2014-06-24,06-2014,87
1,2014-06-25,06-2014,84
1,2014-06-26,06-2014,80
1,2014-06-27,06-2014,79
1,2014-06-28,06-2014,111
1,2014-06-29,06-2014,84
1,2014-06-30,06-2014,104
1,2014-07-01,07-2014,64
1,2014-07-02,07-2014,54
1,2014-07-03,07-2014,58
1,2014-07-04,07-2014,22
1,2014-07-05,07-2014,54
1,2014-07-06,07-2014,49
1,2014-07-07,07-2014,56
1,2014-07-08,07-2014,69
1,2014-07-09,07-2014,74
1,2014-07-10,07-2014,74
1,2014-07-11,07-2014,87
1,2014-07-12,07-2014,53
1,2014-07-13,07-2014,68
1,2014-07-14,07-2014,90
1,2014-07-15,07-2014,100
1,2014-07-16,07-2014,89
1,2014-07-17,07-2014,77
1,2014-07-18,07-2014,49
1,2014-07-19,07-2014,74
1,2014-07-20,07-2014,87
1,2014-07-21,07-2014,66
1,2014-07-22,07-2014,89
1,2014-07-23,07-2014,75
1,2014-07-24,07-2014,100
1,2014-07-25,07-2014,64
1,2014-07-26,07-2014,52
1,2014-07-27,07-2014,81
1,2014-07-28,07-2014,67
1,2014-07-29,07-2014,103
1,2014-07-30,07-2014,87
1,2014-07-31,07-2014,39
1,2014-08-01,08-2014,45
1,2014-08-02,08-2014,28
1,2014-08-03,08-2014,77
1,2014-08-04,08-2014,70
1,2014-08-05,08-2014,99
1,2014-08-06,08-2014,88
1,2014-08-07,08-2014,59
1,2014-08-08,08-2014,49
1,2014-08-09,08-2014,138
1,2014-08-10,08-2014,138
1,2014-08-11,08-2014,82
1,2014-08-12,08-2014,61
1,2014-08-13,08-2014,67
1,2014-08-14,08-2014,100
1,2014-08-15,08-2014,50
1,2014-08-16,08-2014,49
1,2014-08-17,08-2014,34
1,2014-08-18,08-2014,141
1,2014-08-19,08-2014,133
1,2014-08-20,08-2014,166
1,2014-08-21,08-2014,151
1,2014-08-22,08-2014,126
1,2014-08-23,08-2014,77
1,2014-08-24,08-2014,109
1,2014-08-25,08-2014,105
1,2014-08-26,08-2014,102
1,2014-08-27,08-2014,92
1,2014-08-28,08-2014,109
1,2014-08-29,08-2014,112
1,2014-08-30,08-2014,114
1,2014-08-31,08-2014,51
1,2014-09-01,09-2014,67
1,2014-09-02,09-2014,88
1,2014-09-03,09-2014,95
1,2014-09-04,09-2014,67
1,2014-09-05,09-2014,104
1,2014-09-06,09-2014,81
1,2014-09-07,09-2014,82
1,2014-09-08,09-2014,125
1,2014-09-09,09-2014,77
1,2014-09-10,09-2014,68
1,2014-09-11,09-2014,85
1,2014-09-12,09-2014,96
1,2014-09-13,09-2014,96
1,2014-09-14,09-2014,75
1,2014-09-15,09-2014,80
1,2014-09-16,09-2014,103
1,2014-09-17,09-2014,111
1,2014-09-18,09-2014,118
1,2014-09-19,09-2014,62
1,2014-09-20,09-2014,85
1,2014-09-21,09-2014,60
1,2014-09-22,09-2014,83
1,2014-09-23,09-2014,114
1,2014-09-24,09-2014,92
1,2014-09-25,09-2014,54
1,2014-09-26,09-2014,91
1,2014-09-27,09-2014,95
1,2014-09-28,09-2014,72
1,2014-09-29,09-2014,103
1,2014-09-30,09-2014,130
1,2014-10-01,10-2014,77
1,2014-10-02,10-2014,91
1,2014-10-03,10-2014,99
1,2014-10-04,10-2014,39
1,2014-10-05,10-2014,37
1,2014-10-06,10-2014,59
1,2014-10-07,10-2014,92
1,2014-10-08,10-2014,71
1,2014-10-09,10-2014,123
1,2014-10-10,10-2014,82
1,2014-10-11,10-2014,32
1,2014-10-12,10-2014,94
1,2014-10-13,10-2014,46
1,2014-10-14,10-2014,103
1,2014-10-15,10-2014,54
1,2014-10-16,10-2014,59
1,2014-10-17,10-2014,90
1,2014-10-18,10-2014,72
1,2014-10-19,10-2014,70
1,2014-10-20,10-2014,105
1,2014-10-21,10-2014,102
1,2014-10-22,10-2014,70
1,2014-10-23,10-2014,80
1,2014-10-24,10-2014,42
1,2014-10-25,10-2014,47
1,2014-10-26,10-2014,32
1,2014-10-27,10-2014,100
1,2014-10-28,10-2014,91
1,2014-10-29,10-2014,59
1,2014-10-30,10-2014,68
1,2014-10-31,10-2014,39
1,2014-11-01,11-2014,28
1,2014-11-02,11-2014,34
1,2014-11-03,11-2014,32
1,2014-11-04,11-2014,61
1,2014-11-05,11-2014,71
1,2014-11-06,11-2014,33
1,2014-11-07,11-2014,50
1,2014-11-08,11-2014,27
1,2014-11-09,11-2014,47
1,2014-11-10,11-2014,128
1,2014-11-11,11-2014,63
1,2014-11-12,11-2014,50
1,2014-11-13,11-2014,44
1,2014-11-14,11-2014,55
1,2014-11-15,11-2014,43
1,2014-11-16,11-2014,59
1,2014-11-17,11-2014,69
1,2014-11-18,11-2014,93
1,2014-11-19,11-2014,108
1,2014-11-20,11-2014,81
1,2014-11-21,11-2014,129
1,2014-11-22,11-2014,67
1,2014-11-23,11-2014,67
1,2014-11-24,11-2014,92
1,2014-11-25,11-2014,105
1,2014-11-26,11-2014,71
1,2014-11-27,11-2014,8
1,2014-11-28,11-2014,92
1,2014-11-29,11-2014,81
1,2014-11-30,11-2014,97
1,2014-12-01,12-2014,73
1,2014-12-02,12-2014,91
1,2014-12-03,12-2014,40
1,2014-12-04,12-2014,24
1,2014-12-05,12-2014,32
1,2014-12-06,12-2014,17
1,2014-12-07,12-2014,63
1,2014-12-08,12-2014,96
1,2014-12-09,12-2014,61
1,2014-12-10,12-2014,69
1,2014-12-11,12-2014,88
1,2014-12-12,12-2014,68
1,2014-12-13,12-2014,56
1,2014-12-14,12-2014,155
1,2014-12-15,12-2014,112
1,2014-12-16,12-2014,143
1,2014-12-17,12-2014,186
1,2014-12-18,12-2014,129
1,2014-12-19,12-2014,132
1,2014-12-20,12-2014,97
1,2014-12-21,12-2014,75
1,2014-12-22,12-2014,22
1,2014-12-23,12-2014,23
1,2014-12-24,12-2014,22
1,2014-12-25,12-2014,11
1,2014-12-26,12-2014,45
1,2014-12-27,12-2014,88
1,2014-12-28,12-2014,68
1,2014-12-29,12-2014,55
1,2014-12-30,12-2014,51
1,2014-12-31,12-2014,26
1,2015-01-01,01-2015,72
1,2015-01-02,01-2015,104
1,2015-01-03,01-2015,44
1,2015-01-04,01-2015,57
1,2015-01-05,01-2015,14
1,2015-01-06,01-2015,18
1,2015-01-07,01-2015,14
1,2015-01-08,01-2015,32
1,2015-01-09,01-2015,80
1,2015-01-10,01-2015,136
1,2015-01-11,01-2015,98
1,2015-01-12,01-2015,93
1,2015-01-13,01-2015,170
1,2015-01-14,01-2015,236
1,2015-01-15,01-2015,123
1,2015-01-16,01-2015,154
1,2015-01-17,01-2015,93
1,2015-01-18,01-2015,53
1,2015-01-19,01-2015,65
1,2015-01-20,01-2015,94
1,2015-01-21,01-2015,84
1,2015-01-22,01-2015,87
1,2015-01-23,01-2015,67
1,2015-01-24,01-2015,13
1,2015-01-25,01-2015,72
1,2015-01-26,01-2015,83
1,2015-01-27,01-2015,5
1,2015-01-28,01-2015,84
1,2015-01-29,01-2015,101
1,2015-01-30,01-2015,71
1,2015-01-31,01-2015,39
1,2015-02-01,02-2015,47
1,2015-02-02,02-2015,40
1,2015-02-03,02-2015,70
1,2015-02-04,02-2015,117
1,2015-02-05,02-2015,112
1,2015-02-06,02-2015,63
1,2015-02-07,02-2015,56
1,2015-02-08,02-2015,68
1,2015-02-09,02-2015,78
1,2015-02-10,02-2015,72
1,2015-02-11,02-2015,60
1,2015-02-12,02-2015,104
1,2015-02-13,02-2015,37
1,2015-02-14,02-2015,29
1,2015-02-15,02-2015,38
1,2015-02-16,02-2015,52
1,2015-02-17,02-2015,47
1,2015-02-18,02-2015,42
1,2015-02-19,02-2015,95
1,2015-02-20,02-2015,105
1,2015-02-21,02-2015,93
1,2015-02-22,02-2015,47
1,2015-02-23,02-2015,128
1,2015-02-24,02-2015,79
1,2015-02-25,02-2015,87
1,2015-02-26,02-2015,41
1,2015-02-27,02-2015,71
1,2015-02-28,02-2015,36
1,2015-03-01,03-2015,60
1,2015-03-02,03-2015,72
1,2015-03-03,03-2015,93
1,2015-03-04,03-2015,83
1,2015-03-05,03-2015,8
1,2015-03-06,03-2015,65
1,2015-03-07,03-2015,29
1,2015-03-08,03-2015,83
1,2015-03-09,03-2015,85
1,2015-03-10,03-2015,76
1,2015-03-11,03-2015,95
1,2015-03-12,03-2015,95
1,2015-03-13,03-2015,38
1,2015-03-14,03-2015,70
1,2015-03-15,03-2015,63
1,2015-03-16,03-2015,79
1,2015-03-17,03-2015,90
1,2015-03-18,03-2015,99
1,2015-03-19,03-2015,87
1,2015-03-20,03-2015,70
1,2015-03-21,03-2015,100
1,2015-03-22,03-2015,96
1,2015-03-23,03-2015,120
1,2015-03-24,03-2015,128
1,2015-03-25,03-2015,135
1,2015-03-26,03-2015,133
1,2015-03-27,03-2015,82
1,2015-03-28,03-2015,56
1,2015-03-29,03-2015,76
1,2015-03-30,03-2015,131
1,2015-03-31,03-2015,124
1,2015-04-01,04-2015,84
1,2015-04-02,04-2015,53
1,2015-04-03,04-2015,103
1,2015-04-04,04-2015,71
1,2015-04-05,04-2015,54
1,2015-04-06,04-2015,113
1,2015-04-07,04-2015,88
1,2015-04-08,04-2015,89
1,2015-04-09,04-2015,61
1,2015-04-10,04-2015,53
1,2015-04-11,04-2015,74
1,2015-04-12,04-2015,94
1,2015-04-13,04-2015,109
1,2015-04-14,04-2015,70
1,2015-04-15,04-2015,90
1,2015-04-16,04-2015,123
1,2015-04-17,04-2015,63
1,2015-04-18,04-2015,63
1,2015-04-19,04-2015,88
1,2015-04-20,04-2015,103
1,2015-04-21,04-2015,109
1,2015-04-22,04-2015,77
1,2015-04-23,04-2015,99
1,2015-04-24,04-2015,98
1,2015-04-25,04-2015,91
1,2015-04-26,04-2015,69
1,2015-04-27,04-2015,145
1,2015-04-28,04-2015,135
1,2015-04-29,04-2015,97
1,2015-04-30,04-2015,130
1,2015-05-01,05-2015,31
1,2015-05-02,05-2015,72
1,2015-05-03,05-2015,84
1,2015-05-04,05-2015,45
1,2015-05-05,05-2015,99
1,2015-05-06,05-2015,167
1,2015-05-07,05-2015,99
1,2015-05-08,05-2015,42
1,2015-05-09,05-2015,59
1,2015-05-10,05-2015,96
1,2015-05-11,05-2015,147
1,2015-05-12,05-2015,132
1,2015-05-13,05-2015,83
1,2015-05-14,05-2015,105
1,2015-05-15,05-2015,82
1,2015-05-16,05-2015,76
1,2015-05-17,05-2015,87
1,2015-05-18,05-2015,123
1,2015-05-19,05-2015,78
1,2015-05-20,05-2015,115
1,2015-05-21,05-2015,135
1,2015-05-22,05-2015,112
1,2015-05-23,05-2015,44
1,2015-05-24,05-2015,88
1,2015-05-25,05-2015,18
1,2015-05-26,05-2015,119
1,2015-05-27,05-2015,117
1,2015-05-28,05-2015,55
1,2015-05-29,05-2015,87
1,2015-05-30,05-2015,116
1,2015-05-31,05-2015,106
1,2015-06-01,06-2015,48
1,2015-06-02,06-2015,54
1,2015-06-03,06-2015,77
1,2015-06-04,06-2015,86
1,2015-06-05,06-2015,67
1,2015-06-06,06-2015,65
1,2015-06-07,06-2015,89
1,2015-06-08,06-2015,85
1,2015-06-09,06-2015,67
1,2015-06-10,06-2015,102
1,2015-06-11,06-2015,65
1,2015-06-12,06-2015,76
1,2015-06-13,06-2015,149
1,2015-06-14,06-2015,152
1,2015-06-15,06-2015,124
1,2015-06-16,06-2015,166
1,2015-06-17,06-2015,129
1,2015-06-18,06-2015,143
1,2015-06-19,06-2015,111
1,2015-06-20,06-2015,118
1,2015-06-21,06-2015,100
1,2015-06-22,06-2015,126
1,2015-06-23,06-2015,193
1,2015-06-24,06-2015,142
1,2015-06-25,06-2015,258
1,2015-06-26,06-2015,224
1,2015-06-27,06-2015,158
1,2015-06-28,06-2015,103
1,2015-06-29,06-2015,196
1,2015-06-30,06-2015,210
1,2015-07-01,07-2015,73
1,2015-07-02,07-2015,54
1,2015-07-03,07-2015,50
1,2015-07-04,07-2015,87
1,2015-07-05,07-2015,87
1,2015-07-06,07-2015,120
1,2015-07-07,07-2015,110
1,2015-07-08,07-2015,99
1,2015-07-09,07-2015,66
1,2015-07-10,07-2015,58
1,2015-07-11,07-2015,197
1,2015-07-12,07-2015,60
1,2015-07-13,07-2015,67
1,2015-07-14,07-2015,93
1,2015-07-15,07-2015,76
1,2015-07-16,07-2015,107
1,2015-07-17,07-2015,79
1,2015-07-18,07-2015,81
1,2015-07-19,07-2015,150
1,2015-07-20,07-2015,72
1,2015-07-21,07-2015,110
1,2015-07-22,07-2015,89
1,2015-07-23,07-2015,93
1,2015-07-24,07-2015,102
1,2015-07-25,07-2015,118
1,2015-07-26,07-2015,106
1,2015-07-27,07-2015,125
1,2015-07-28,07-2015,122
1,2015-07-29,07-2015,73
1,2015-07-30,07-2015,100
1,2015-07-31,07-2015,62
1,2015-08-01,08-2015,30
1,2015-08-02,08-2015,101
1,2015-08-03,08-2015,78
1,2015-08-04,08-2015,75
1,2015-08-05,08-2015,81
1,2015-08-06,08-2015,59
1,2015-08-07,08-2015,65
1,2015-08-08,08-2015,34
1,2015-08-09,08-2015,45
1,2015-08-10,08-2015,103
1,2015-08-11,08-2015,95
1,2015-08-12,08-2015,105
1,2015-08-13,08-2015,94
1,2015-08-14,08-2015,67
1,2015-08-15,08-2015,77
1,2015-08-16,08-2015,90
1,2015-08-17,08-2015,107
1,2015-08-18,08-2015,109
1,2015-08-19,08-2015,117
1,2015-08-20,08-2015,80
1,2015-08-21,08-2015,63
1,2015-08-22,08-2015,34
1,2015-08-23,08-2015,50
1,2015-08-24,08-2015,132
1,2015-08-25,08-2015,115
1,2015-08-26,08-2015,130
1,2015-08-27,08-2015,101
1,2015-08-28,08-2015,29
1,2015-08-29,08-2015,43
1,2015-08-30,08-2015,42
1,2015-08-31,08-2015,130
1,2015-09-01,09-2015,67
1,2015-09-02,09-2015,53
